18-10-2015 13:08:18 infiSTAR.de | Ford(76561198068372718) | God Mode - 0 (v0015D)
18-10-2015 13:08:19 infiSTAR.de | Ford(76561198068372718) | infiSTAR MapIcons - 0 (v0015D)
18-10-2015 13:08:20 infiSTAR.de | Ford(76561198068372718) | infiSTAR Player ESP - 0 (v0015D)
18-10-2015 13:08:40 infiSTAR.de | Optima(76561198052079567) | Spawning M320 GLM (rhs_weap_M320) on the ground infront of Optima! (v0015D)
18-10-2015 13:08:41 infiSTAR.de | Optima(76561198052079567) | spawning M320 GLM (rhs_weap_M320) (v0015D)
18-10-2015 13:09:29 infiSTAR.de | Ford(76561198068372718) | infiSTAR Player ESP - 1 (v0015D)
18-10-2015 13:09:30 infiSTAR.de | Ford(76561198068372718) | infiSTAR MapIcons - 1 (v0015D)
18-10-2015 13:09:51 infiSTAR.de | Optima(76561198052079567) | Deleting GroundWeaponHolder @081817.. (v0015D)
18-10-2015 13:10:11 infiSTAR.de | Ford(76561198068372718) | God Mode - 1 (v0015D)
18-10-2015 13:11:29 infiSTAR.de | Optima(76561198052079567) | Teleport to [3480.24,16269.8,0](GPS: 034937) (v0015D)
18-10-2015 13:11:33 infiSTAR.de | Optima(76561198052079567) | Stealth / Invisible - 1 (v0015D)
18-10-2015 13:11:35 infiSTAR.de | Cannon(76561198027365826) | spawning M4 Scorcher (B_MBT_01_arty_F) (v0015D)
18-10-2015 13:12:02 infiSTAR.de | Ford(76561198068372718) | spawning M4 Scorcher (B_MBT_01_arty_F) (v0015D)
18-10-2015 13:12:35 infiSTAR.de | Ford(76561198068372718) | Deleting B_MBT_01_arty_F @082817.. (v0015D)
